timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,magX,magY,magZ,ICMtemp,lat,lon,altMSL,altEll,velN,velE,velD,epochTime,satellites,gpsLockType
1686,1001.4221,23.1000,98.9265,0.0000,0.0100,1.0120,0.9800,-1.5400,0.3500,-0.0670,0.0287,9.9168,0.0074,-0.0032,0.0106,16.5000,28.9500,21.9000,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1711,1001.4221,23.1000,98.9265,-0.0050,0.0100,1.0160,1.1900,-1.1900,0.8400,-0.0958,0.0527,9.8785,-0.0053,0.0043,0.0064,16.2000,27.4500,21.9000,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1736,1001.4241,23.1100,98.9101,-0.0010,0.0080,1.0150,0.8400,-1.6100,0.0700,-0.1341,0.0479,9.8785,0.0021,-0.0053,0.0085,16.9500,27.9000,20.8500,25.9840,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1761,1001.4241,23.1100,98.9101,-0.0080,0.0090,1.0160,0.9800,-1.4000,0.0700,-0.1006,0.0192,9.8593,-0.0096,0.0053,0.0096,18.0000,28.6500,22.2000,25.8402,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1786,1001.4795,23.1100,98.4444,-0.0110,0.0070,1.0130,0.9100,-1.5400,0.0000,-0.1341,-0.0479,9.8928,0.0011,-0.0021,0.0064,16.0500,27.7500,20.7000,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1813,1001.4795,23.1100,98.4444,-0.0190,0.0090,1.0140,0.9100,-1.6100,-0.1400,-0.0910,-0.1053,9.9264,-0.0053,0.0011,-0.0011,17.1000,27.3000,23.1000,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1838,1001.4583,23.1100,98.6229,-0.0210,0.0090,1.0140,0.9800,-1.5400,-0.2100,-0.1484,-0.0144,9.9647,0.0011,-0.0053,0.0043,15.4500,27.9000,22.9500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1864,1001.4583,23.1100,98.6229,-0.0210,0.0090,1.0160,1.0500,-1.4000,-0.2100,-0.1676,0.0096,9.8785,-0.0011,-0.0021,0.0000,17.4000,27.7500,21.0000,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1888,1001.4297,23.1000,98.8629,-0.0110,0.0110,1.0160,0.9100,-1.4000,-0.2100,-0.1293,0.1389,9.9024,0.0011,0.0000,0.0043,17.4000,28.5000,22.0500,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1914,1001.4297,23.1000,98.8629,-0.0050,0.0110,1.0140,0.9100,-1.5400,-0.2100,-0.1389,0.2107,9.9407,-0.0021,0.0011,0.0053,17.4000,27.7500,22.3500,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1939,1001.4419,23.1100,98.7603,0.0040,0.0100,1.0150,1.0500,-1.5400,-0.0700,-0.0910,0.1724,9.9216,0.0011,0.0021,0.0117,16.6500,26.5500,22.0500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1966,1001.4419,23.1100,98.7603,0.0060,0.0060,1.0150,0.9100,-1.6100,0.0700,-0.1053,0.0718,9.9311,0.0000,0.0000,0.0096,17.2500,26.4000,22.9500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
1990,1001.4526,23.1200,98.6700,0.0000,0.0050,1.0150,0.9800,-1.4000,0.1400,-0.1197,-0.0670,9.8833,-0.0021,-0.0032,0.0032,16.6500,29.2500,21.7500,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2015,1001.4319,23.1100,98.8444,-0.0150,0.0080,1.0150,0.9100,-1.5400,0.0000,-0.0862,-0.1149,9.9072,-0.0064,-0.0053,0.0000,16.5000,28.2000,21.4500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2040,1001.4319,23.1100,98.8444,-0.0220,0.0080,1.0160,0.9100,-1.4700,-0.0700,-0.1389,-0.1867,9.9024,-0.0032,-0.0011,0.0043,17.4000,28.5000,22.3500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2065,1001.4395,23.1100,98.7808,-0.0270,0.0130,1.0160,0.9100,-1.4000,-0.2800,-0.1724,-0.0718,9.8737,-0.0074,-0.0021,0.0021,16.5000,27.9000,22.2000,25.9361,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2090,1001.4395,23.1100,98.7808,-0.0210,0.0130,1.0170,0.9800,-1.4700,-0.2800,-0.1149,0.0144,9.9695,-0.0074,0.0000,0.0021,16.5000,27.9000,22.6500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2115,1001.4104,23.1100,99.0250,-0.0130,0.0100,1.0140,0.9100,-1.5400,-0.2100,-0.1820,0.0479,9.9551,0.0117,-0.0074,0.0106,16.2000,27.4500,21.4500,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2140,1001.4104,23.1100,99.0250,0.0010,0.0100,1.0170,0.9800,-1.3300,0.0000,-0.1389,0.1820,9.8306,-0.0106,0.0053,0.0053,16.6500,27.7500,21.7500,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2165,1001.4250,23.1200,98.9019,0.0060,0.0090,1.0160,0.7000,-1.8200,0.0000,-0.1484,0.1676,10.0030,0.0000,0.0011,0.0106,16.6500,27.3000,21.7500,26.0319,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2190,1001.4399,23.1200,98.7767,0.0020,0.0060,1.0160,0.9100,-1.5400,0.0000,-0.0622,0.1867,9.8976,-0.0053,0.0032,0.0074,16.6500,28.5000,22.0500,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2215,1001.4399,23.1200,98.7767,-0.0030,0.0090,1.0130,0.9800,-1.4700,0.0000,-0.1389,-0.0239,10.0221,-0.0021,-0.0053,0.0032,16.9500,27.9000,21.9000,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
2240,1001.4573,23.1200,98.6311,-0.0100,0.0120,1.0130,1.2600,-1.1200,0.0000,-0.2107,-0.2251,9.9503,0.0021,-0.0032,-0.0223,16.2000,27.1500,22.2000,25.9840,0.00,0.00,-17000.00,0.00,0,0,0,1615075258,0,0
